leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.2,0.85,1.0,1.0,14.93105,15.2798
0.2,0.85,1.0,1.0,20.3536,20.65645
0.2,0.85,1.0,1.0,23.93505,24.03975
0.2,0.85,-1.0,0.0,29.1489,
0.2,0.85,1.0,1.0,33.4054,33.73085
0.2,0.85,-1.0,0.0,37.46785,
0.2,0.85,1.0,0.0,40.1268,
0.2,0.85,1.0,1.0,42.79725,43.10235
0.2,0.85,-1.0,0.0,45.77575,
0.2,0.85,1.0,1.0,50.11695,50.7399
0.2,0.85,1.0,1.0,53.0143,53.35695
0.2,0.85,-1.0,0.0,56.6959,
0.2,0.85,-1.0,0.0,59.97,
0.2,0.85,-1.0,0.0,62.64785,
0.2,0.85,-1.0,0.0,67.718,
0.2,0.85,-1.0,1.0,70.3031,70.5932
0.2,0.85,1.0,1.0,72.6682,73.089
0.2,0.85,-1.0,1.0,76.12115,76.39125
0.2,0.85,-1.0,0.0,78.7648,
0.2,0.85,-1.0,0.0,81.46845,
0.2,0.85,1.0,1.0,84.2693,84.56445
0.2,0.85,1.0,1.0,86.63845,86.92365
0.2,0.85,1.0,1.0,89.397,89.9022
0.2,0.85,-1.0,0.0,98.75775,
0.2,0.85,-1.0,0.0,101.2535,
0.2,0.85,-1.0,0.0,103.61585,
0.2,0.85,1.0,0.0,107.55335,
0.2,0.85,1.0,1.0,110.66145,110.9646
0.2,0.85,-1.0,1.0,115.4949,116.0344
0.2,0.85,1.0,1.0,118.40935,118.541
0.2,0.85,1.0,1.0,127.09385,127.3347
0.2,0.85,1.0,1.0,130.4608,130.78785
0.2,0.85,-1.0,0.0,135.5559,
0.2,0.85,1.0,1.0,139.22655,139.6183
0.2,0.85,1.0,1.0,142.86305,143.59855
0.2,0.85,1.0,0.0,145.87755,
0.2,0.85,1.0,0.0,148.85205,
0.2,0.85,1.0,1.0,152.8343,153.1095
0.2,0.85,1.0,1.0,155.18395,155.5494
0.2,0.85,1.0,1.0,158.22325,158.51555
0.2,0.85,1.0,0.0,162.64835,
0.2,0.85,1.0,1.0,165.3802,165.467
0.2,0.85,1.0,1.0,168.14175,168.29535
0.2,0.85,1.0,1.0,171.6032,171.78545
0.2,0.85,1.0,1.0,174.26075,174.45565
0.2,0.85,1.0,0.0,176.52835,
0.2,0.85,1.0,1.0,180.2203,180.5469
0.2,0.85,1.0,1.0,182.92675,183.2947
0.2,0.85,1.0,1.0,185.56765,185.9566
0.2,0.85,1.0,1.0,189.33,189.5459
0.2,0.85,1.0,1.0,191.61835,191.71605
0.2,0.85,1.0,1.0,196.36475,196.6475
0.2,0.85,1.0,1.0,199.0213,199.38725
0.2,0.85,1.0,1.0,201.85935,202.25725
0.2,0.85,1.0,1.0,204.5322,204.8972
0.2,0.85,1.0,1.0,208.6112,208.8046
0.2,0.85,1.0,0.0,211.4794,
0.2,0.85,1.0,1.0,215.5494,215.8166
0.2,0.85,1.0,1.0,218.78175,219.22835
0.2,0.85,1.0,1.0,221.9029,222.235
0.2,0.85,1.0,1.0,224.50975,224.83955
0.2,0.85,1.0,1.0,226.91315,227.33075
0.2,0.85,1.0,1.0,230.67365,230.9329
0.2,0.85,1.0,1.0,233.6077,233.86495
0.2,0.85,1.0,1.0,236.2373,236.5735
0.2,0.85,1.0,0.0,240.5725,
0.2,0.85,1.0,1.0,244.07405,244.3548
0.2,0.85,1.0,1.0,246.8292,247.02235
0.2,0.85,1.0,1.0,249.2962,249.5854
0.2,0.85,1.0,1.0,251.95855,252.34025
0.2,0.85,1.0,1.0,256.09365,256.38995
0.2,0.85,-1.0,0.0,258.46435,
0.2,0.85,1.0,1.0,262.50415,262.7814
0.2,0.85,1.0,1.0,266.9207,267.19595
0.2,0.85,1.0,1.0,270.4153,270.87795
0.8,0.2,1.0,0.0,275.71485,
0.8,0.2,1.0,0.0,279.3091,
0.8,0.2,1.0,0.0,282.1893,
0.8,0.2,1.0,1.0,284.92685,285.15225
0.8,0.2,1.0,0.0,289.19685,
0.8,0.2,1.0,0.0,291.58125,
0.8,0.2,1.0,0.0,295.44865,
0.8,0.2,1.0,1.0,300.1967,300.55575
0.8,0.2,-1.0,0.0,304.3036,
0.8,0.2,-1.0,0.0,306.84675,
0.8,0.2,1.0,0.0,309.91735,
0.8,0.2,-1.0,0.0,317.44995,
0.8,0.2,-1.0,1.0,320.21245,320.51265
0.8,0.2,-1.0,0.0,327.19355,
0.8,0.2,-1.0,1.0,329.974,330.05775
0.8,0.2,-1.0,1.0,333.1983,333.47895
0.8,0.2,-1.0,1.0,339.75155,339.9939
0.8,0.2,-1.0,1.0,344.18855,344.2983
0.8,0.2,1.0,0.0,350.4416,
0.8,0.2,-1.0,1.0,353.0967,353.338
0.8,0.2,-1.0,1.0,356.4704,356.8275
0.8,0.2,-1.0,1.0,361.3152,361.50065
0.8,0.2,-1.0,1.0,369.0861,369.4856
0.8,0.2,-1.0,1.0,376.20215,376.4634
0.8,0.2,-1.0,1.0,383.13535,383.523
0.8,0.2,-1.0,1.0,385.8974,386.04845
0.8,0.2,-1.0,1.0,389.6601,390.1068
0.8,0.2,1.0,1.0,395.0504,395.14515
0.8,0.2,-1.0,1.0,398.0852,398.35645
0.8,0.2,-1.0,1.0,401.6645,401.9524
0.8,0.2,1.0,0.0,405.2167,
0.8,0.2,-1.0,1.0,407.3915,407.62885
0.8,0.2,-1.0,1.0,410.32455,410.6402
0.8,0.2,-1.0,1.0,414.29715,414.6541
0.8,0.2,-1.0,1.0,418.48725,418.7705
0.8,0.2,-1.0,1.0,421.7564,421.8382
0.8,0.2,-1.0,1.0,427.3798,427.7328
0.8,0.2,-1.0,1.0,431.08275,431.4784
0.8,0.2,-1.0,1.0,433.75205,434.0562
0.8,0.2,-1.0,1.0,438.1172,438.4159
0.8,0.2,-1.0,0.0,441.09065,
0.8,0.2,-1.0,1.0,445.0442,445.32145
0.8,0.2,-1.0,0.0,447.39585,
0.8,0.2,-1.0,1.0,449.88475,450.1775
0.8,0.2,-1.0,1.0,454.0681,454.472
0.8,0.2,-1.0,1.0,456.546,456.8202
0.8,0.2,-1.0,0.0,460.22795,
0.8,0.2,-1.0,1.0,464.10845,464.4435
0.8,0.2,-1.0,1.0,466.91645,467.3303
0.8,0.2,1.0,0.0,470.879,
0.2,0.85,-1.0,0.0,473.42405,
0.2,0.85,-1.0,1.0,476.0988,476.24395
0.2,0.85,-1.0,0.0,479.38705,
0.2,0.85,-1.0,1.0,482.03305,482.3295
0.2,0.85,-1.0,0.0,484.85195,
0.2,0.85,-1.0,0.0,487.18565,
0.2,0.85,-1.0,0.0,490.0643,
0.2,0.85,-1.0,0.0,492.53825,
0.2,0.85,-1.0,0.0,495.3657,
0.2,0.85,-1.0,1.0,499.9609,500.30185
0.2,0.85,-1.0,0.0,504.2597,
0.2,0.85,-1.0,0.0,508.9503,
0.2,0.85,-1.0,0.0,511.2851,
0.2,0.85,-1.0,0.0,513.7237,
0.2,0.85,-1.0,0.0,516.7133,
0.2,0.85,-1.0,1.0,519.2797,519.568
0.2,0.85,-1.0,0.0,522.903,
0.2,0.85,-1.0,0.0,525.42565,
0.2,0.85,-1.0,0.0,528.8021,
0.2,0.85,-1.0,0.0,531.37605,
0.2,0.85,-1.0,0.0,533.8182,
0.2,0.85,-1.0,0.0,537.4854,
0.2,0.85,1.0,1.0,541.1486,541.65025
0.2,0.85,-1.0,0.0,545.29055,
0.2,0.85,1.0,1.0,549.56995,549.86315
0.2,0.85,1.0,1.0,553.86855,554.14305
